Localidade;Variável;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Goiandira;Financiamentos à Pecuária - Custeio - Valor (R$);5.631.722,87;6.519.597,53;7.960.076,59;8.566.722,71;15.691.686,09;19.388.608,44;18.918.308;22.982.553;31.762.023;3.455.560;38.650.791
Goianésia;Financiamentos à Pecuária - Custeio - Valor (R$);16.857.016,45;23.905.991,50;32.964.980,12;31.940.831,88;26.729.375,35;34.216.781,15;45.192.849;36.147.526;37.957.696;11.766.530;51.731.773
Goiânia;Financiamentos à Pecuária - Custeio - Valor (R$);4.608.427,45;2.165.902,94;3.111.991,41;9.398.782,16;19.057.664,82;7.768.085,55;6.398.318;874.284;3.215.038;4.694.580;5.371.551
Goianira;Financiamentos à Pecuária - Custeio - Valor (R$);1.340.717,45;5.877.008,35;6.396.971,89;1.725.668,93;1.232.422,11;1.101.453,49;2.091.972;3.145.652;1.831.412;0;1.574.291
Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);31.112.826,50;32.087.778,91;33.690.467,61;35.396.269,19;37.499.191,44;50.803.471,70;51.068.353;92.331.266;94.094.387;19.335.374;123.257.634
Goiatuba;Financiamentos à Pecuária - Custeio - Valor (R$);15.683.845,86;12.786.430,25;13.959.995,60;17.119.872,74;12.605.923,72;11.240.712,78;11.123.900;13.817.261;13.011.554;3.206.000;23.661.811
Gouvelândia;Financiamentos à Pecuária - Custeio - Valor (R$);6.570.517,34;6.253.710,52;8.106.761,11;9.815.920,22;10.813.099,37;12.838.891,83;8.998.019;11.714.748;5.040.566;9.097.640;4.999.738
Guapó;Financiamentos à Pecuária - Custeio - Valor (R$);6.238.595,20;3.824.116,84;8.232.153,24;11.569.572,85;7.792.705,89;17.226.431,33;10.835.287;16.639.678;17.798.764;3.186.342;13.042.660
Guaraíta;Financiamentos à Pecuária - Custeio - Valor (R$);1.792.996,01;2.040.136,16;1.982.477,63;3.241.797,06;2.698.473,69;3.181.948,45;3.310.371;4.477.434;7.755.122;326.868;10.528.051
Guarani de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);7.206.456,37;5.130.226,91;5.063.106,71;4.275.300,96;6.489.123,52;6.286.518,52;6.636.311;17.367.386;13.523.906;9.958.603;18.995.185
Guarinos;Financiamentos à Pecuária - Custeio - Valor (R$);2.852.008,30;3.079.794,54;4.145.173,49;5.017.354,38;6.161.551,97;7.039.664,62;9.605.429;24.798.306;25.170.555;5.001.390;43.988.182
Heitoraí;Financiamentos à Pecuária - Custeio - Valor (R$);2.958.842,14;2.614.772,70;2.605.861,02;3.028.106,45;4.299.858,10;4.414.409,68;5.174.652;4.052.667;10.892.042;2.568.604;12.972.935
Hidrolândia;Financiamentos à Pecuária - Custeio - Valor (R$);8.738.689,22;9.851.706,50;12.676.699,70;14.920.695,90;16.634.726,53;19.623.338,64;29.005.457;19.269.773;25.072.069;5.900.000;26.353.528
Hidrolina;Financiamentos à Pecuária - Custeio - Valor (R$);5.751.173,10;3.919.800,12;6.197.293,91;5.951.345,38;8.320.009,28;7.746.379,67;11.506.181;21.018.216;21.189.844;3.153.583;17.633.996
Iaciara;Financiamentos à Pecuária - Custeio - Valor (R$);11.301.318,30;9.448.151,97;10.040.685,74;9.387.606,35;15.313.006,40;17.818.772,81;22.085.129;27.855.404;39.213.064;6.848.233;45.748.550
Inaciolândia;Financiamentos à Pecuária - Custeio - Valor (R$);3.995.364,59;4.650.740,44;4.713.394,96;3.280.496,49;2.401.244,28;3.991.767,29;4.310.380;4.915.248;3.830.502;9.667.580;10.100.482
Indiara;Financiamentos à Pecuária - Custeio - Valor (R$);13.215.071,18;16.009.024,53;14.923.168,51;12.282.588,25;17.398.713,88;10.622.547,80;24.645.478;22.690.507;8.784.707;1.910.000;23.798.118
Inhumas;Financiamentos à Pecuária - Custeio - Valor (R$);16.573.495,38;12.459.169,28;8.674.581,81;11.619.719,25;10.547.772,37;21.294.535,47;13.647.876;21.414.951;33.109.181;8.176.192;35.165.626
Ipameri;Financiamentos à Pecuária - Custeio - Valor (R$);32.228.689,85;33.621.484,18;38.987.263,82;47.273.127,16;35.802.155,27;52.259.512,94;56.983.638;85.444.866;117.425.144;22.654.830;136.455.311
Ipiranga de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);2.469.876,47;3.789.054,45;3.163.210,18;5.002.247,87;3.876.700,99;4.935.856,02;3.545.137;7.328.861;7.350.693;1.939.032;8.272.130
Iporá;Financiamentos à Pecuária - Custeio - Valor (R$);8.679.120,96;9.583.280,83;9.023.536,98;10.561.492,92;15.255.838,76;14.762.262,32;18.749.662;26.667.099;24.686.044;2.634.220;26.972.566
Israelândia;Financiamentos à Pecuária - Custeio - Valor (R$);2.861.239,82;3.204.741,95;2.897.799,81;2.311.142,63;4.194.883,17;2.632.924,56;8.116.848;10.638.925;9.360.669;5.167.751;6.596.650
Itaberaí;Financiamentos à Pecuária - Custeio - Valor (R$);44.284.824,33;59.515.122,21;48.295.341,17;59.965.744,61;55.311.468,21;26.845.782,31;59.697.431;93.415.299;56.038.595;4.940.412;66.917.819
Itaguari;Financiamentos à Pecuária - Custeio - Valor (R$);2.393.418,19;4.046.820,35;3.674.208,84;3.397.932,16;4.172.777,83;3.395.377,09;3.380.667;4.967.706;4.481.905;0;3.934.909
Itaguaru;Financiamentos à Pecuária - Custeio - Valor (R$);5.902.450,73;6.278.330,41;5.541.545,14;2.937.020,49;2.710.758,24;3.593.771,17;4.793.558;5.479.090;11.835.091;4.989.388;19.127.907
Itajá;Financiamentos à Pecuária - Custeio - Valor (R$);20.769.538,79;27.902.392,96;25.974.089,56;18.661.199,29;32.096.571,87;34.361.059,22;45.224.369;67.292.805;86.481.327;28.771.642;92.328.513
Itapaci;Financiamentos à Pecuária - Custeio - Valor (R$);11.834.962,37;13.044.022,98;14.873.958,40;16.959.228,28;20.221.954,80;21.715.771,73;21.906.307;44.486.876;41.697.965;15.101.201;45.118.335
Itapirapuã;Financiamentos à Pecuária - Custeio - Valor (R$);36.156.331,06;28.015.110,28;30.257.954,62;34.158.403,85;35.557.890,50;40.164.000,18;40.890.609;48.591.030;57.649.395;6.372.829;78.092.167
Itapuranga;Financiamentos à Pecuária - Custeio - Valor (R$);14.185.003,74;14.141.714,78;15.903.029,92;17.234.664,54;24.047.489,95;21.714.155,93;31.656.947;43.636.322;78.867.588;4.236.593;86.458.416
Itarumã;Financiamentos à Pecuária - Custeio - Valor (R$);29.450.022,99;35.658.903,66;36.184.953,37;47.497.353,52;41.938.389,76;62.141.187,85;78.161.800;94.887.713;101.903.175;26.783.709;135.695.588
Itauçu;Financiamentos à Pecuária - Custeio - Valor (R$);5.756.987,40;5.093.367,07;4.091.014,52;5.096.345,73;5.795.960,09;6.401.565,49;7.670.199;15.382.726;15.711.836;12.471.313;19.524.005
Itumbiara;Financiamentos à Pecuária - Custeio - Valor (R$);18.861.601,42;18.632.326,00;19.214.705,17;17.627.915,99;25.395.055,23;23.043.456,12;15.742.429;23.298.244;17.589.609;1.797.140;16.806.934
Ivolândia;Financiamentos à Pecuária - Custeio - Valor (R$);10.541.442,10;12.838.944,08;15.799.790,96;17.042.283,93;23.254.469,33;21.727.614,38;29.147.716;52.391.781;55.057.608;6.530.115;61.664.459
Jandaia;Financiamentos à Pecuária - Custeio - Valor (R$);17.799.812,80;17.837.837,57;14.702.592,79;16.463.605,45;16.881.015,80;19.207.054,55;21.908.941;21.728.449;27.096.323;11.312.082;38.278.228
